order_id,customer_id,order_date,status,amount
1,101,2024-01-15,completed,150.00
2,102,2024-01-16,completed,250.50
3,101,2024-01-17,completed,75.25
4,103,2024-01-18,cancelled,100.00
5,104,2024-01-19,completed,320.00
6,102,2024-01-20,completed,180.75
7,105,2024-01-21,completed,99.99
8,103,2024-01-22,completed,450.00
9,106,2024-01-23,completed,210.30
10,101,2024-01-24,completed,125.50
11,107,2024-02-01,completed,300.00
12,108,2024-02-02,completed,175.25
13,102,2024-02-03,cancelled,50.00
14,109,2024-02-04,completed,425.75
15,104,2024-02-05,completed,89.99
16,110,2024-02-06,completed,650.00
17,105,2024-02-07,completed,115.50
18,111,2024-02-08,completed,275.00
19,103,2024-02-09,completed,340.25
20,112,2024-02-10,completed,199.99
