Country,Region,Producer,Wine name,Vintage,Unit size,WA score,Vinous score,Quantity, Offer Price 
Argentina,Mendoza,Catena Zapata,"Catena Zapata, Adrianna Vineyard White Stones Chardonnay, Mendoza",2020,3x75cl,,97,5, $325.00 
Argentina,Mendoza,Catena Zapata,"Catena Zapata, Catena Alta Cabernet Sauvignon, Mendoza",2018,6x75cl,92,92,4, $390.00 
Argentina,Mendoza,Catena Zapata,"Catena Zapata, Gualtallary Adrianna Vineyard Fortuna Terrae Malbec, Tupungato",2018,3x75cl,97,94,1, $328.00 
Argentina,Mendoza,Catena Zapata,"Catena Zapata, Malbec Argentino, Mendoza",2019,1x150cl,96,95,8, $332.00 
Argentina,Mendoza,Catena Zapata,"Catena Zapata, Malbec Argentino, Mendoza",2019,4x75cl,96,95,5, $654.00 
Argentina,Mendoza,Catena Zapata,"Catena Zapata, Nicolas Catena Zapata, Mendoza",2016,6x75cl,,96,20, $579.00 
Argentina,Mendoza,Catena Zapata,"Catena Zapata, Nicolas Catena Zapata, Mendoza",2018,6x75cl,,96,9, $449.00 
Argentina,Mendoza,Catena Zapata,"Catena Zapata, Nicolas Catena Zapata, Mendoza",2019,6x75cl,,96,4, $674.00 
Argentina,Mendoza,Cheval Blanc & Terrazas de Los Andes,"Cheval Blanc & Terrazas de Los Andes, Cheval des Andes, Mendoza",2016,6x75cl,97,95,21, $585.00 
Argentina,Mendoza,Cheval Blanc & Terrazas de Los Andes,"Cheval Blanc & Terrazas de Los Andes, Cheval des Andes, Mendoza",2017,6x75cl,97,95,32, $798.00 
Argentina,Mendoza,Cheval Blanc & Terrazas de Los Andes,"Cheval Blanc & Terrazas de Los Andes, Cheval des Andes, Mendoza",2018,6x75cl,98,96,32, $589.00 
Argentina,Mendoza,Cheval Blanc & Terrazas de Los Andes,"Cheval Blanc & Terrazas de Los Andes, Cheval des Andes, Mendoza",2019,6x75cl,,97,1, $543.00 
Argentina,Mendoza,Familia Zuccardi,"Familia Zuccardi, Paraje Altamira Finca Canal Uco, Uco Valley",2019,6x75cl,,,1, $666.00 
Argentina,Mendoza,Familia Zuccardi,"Familia Zuccardi, Paraje Altamira Finca Piedra Infinita, Uco Valley",2015,6x75cl,98,95,2," $1,341.00 "
Argentina,Mendoza,Familia Zuccardi,"Familia Zuccardi, Paraje Altamira Finca Piedra Infinita, Uco Valley",2016,3x75cl,100,96,1, $512.00 
Argentina,Patagonia,Chacra,"Bodega Chacra, Cincuenta y Cinco Pinot Noir, Patagonia",2017,6x75cl,97,,15, $511.00 
Australia,New South Wales,Clonakilla,"Clonakilla, Shiraz Viognier, Canberra District",2014,6x75cl,93,93,1, $819.00 
Australia,South Australia,Ben Glaetzer,"Ben Glaetzer, Amon Ra, Barossa Valley",2020,6x75cl,,,1, $756.00 
Australia,South Australia,Clarendon Hills,"Clarendon Hills, Astralis, South Australia",2006,6x75cl,99,95,1," $2,002.00 "
Australia,South Australia,Clarendon Hills,"Clarendon Hills, Astralis, South Australia",2007,6x75cl,97,95,2," $1,519.00 "
Australia,South Australia,Henschke,"Henschke, Hill of Grace Vineyard, Eden Valley",2003,3x75cl,94,,4," $2,567.00 "
Australia,South Australia,Henschke,"Henschke, Hill of Grace Vineyard, Eden Valley",2008,3x75cl,96,93,1," $1,740.00 "
Australia,South Australia,Henschke,"Henschke, Hill of Grace Vineyard, Eden Valley",2009,3x75cl,97,96,5," $2,576.00 "
Australia,South Australia,Henschke,"Henschke, Hill of Grace Vineyard, Eden Valley",2013,3x75cl,97,96,2," $2,528.00 "
Australia,South Australia,Henschke,"Henschke, Hill of Grace Vineyard, Eden Valley",2015,3x75cl,98,95,1," $2,279.00 "
Australia,South Australia,Henschke,"Henschke, Mount Edelstone Vineyard, Eden Valley",2013,6x75cl,96,,6," $1,130.00 "
Australia,South Australia,Henschke,"Henschke, Mount Edelstone Vineyard, Eden Valley",2015,6x75cl,95,95,10, $992.00 
Australia,South Australia,John Duval Wines,"John Duval Wines, Eligo, Barossa Valley",2015,6x75cl,,95,4, $929.00 
Australia,South Australia,Penfolds,"Penfolds, Bin 111A Shiraz, South Australia",2016,6x75cl,100,,3," $5,564.00 "
Australia,South Australia,Penfolds,"Penfolds, Bin 170 Shiraz, Barossa Valley",2010,3x75cl,,96,2," $2,095.00 "
Australia,South Australia,Penfolds,"Penfolds, Bin 389 Cabernet Shiraz, South Australia",2012,6x75cl,91,,2, $770.00 
Australia,South Australia,Penfolds,"Penfolds, Bin 707 Cabernet Sauvignon, South Australia",2015,6x75cl,95,95,1," $1,845.00 "
Australia,South Australia,Penfolds,"Penfolds, Bin 798 RWT Shiraz, Barossa Valley",2016,6x75cl,97,95,1," $1,260.00 "
Australia,South Australia,Penfolds,"Penfolds, Grange, South Australia",2011,6x75cl,93,93,1," $2,484.00 "
Australia,South Australia,Penfolds,"Penfolds, Grange, South Australia",2013,6x75cl,100,96,2," $2,744.00 "
Australia,South Australia,Penfolds,"Penfolds, Grange, South Australia",2014,6x75cl,98,97,2," $2,641.00 "
Australia,South Australia,Penfolds,"Penfolds, Grange, South Australia",2015,6x75cl,98,98,8," $3,230.00 "
Australia,South Australia,Penfolds,"Penfolds, Grange, South Australia",2016,3x150cl,99,98,1," $2,746.00 "
Australia,South Australia,Penfolds,"Penfolds, Grange, South Australia",2016,6x75cl,99,98,1," $2,458.00 "
Australia,South Australia,Penfolds,"Penfolds, Grange, South Australia",2017,6x75cl,,97,8," $2,383.00 "
Australia,South Australia,Penfolds,"Penfolds, RWT Shiraz, Barossa Valley",2014,6x75cl,92,94,31, $721.00 
Australia,South Australia,Penfolds,"Penfolds, St. Henri Shiraz, South Australia",2016,6x75cl,96,94,6, $565.00 
Australia,South Australia,Penfolds,"Penfolds, St. Henri Shiraz, South Australia",2018,6x75cl,,95,1, $693.00 
Australia,South Australia,Torbreck,"Torbreck, RunRig, Barossa Valley",2005,6x75cl,98,95,1," $1,415.00 "
Australia,South Australia,Torbreck,"Torbreck, The Laird, Barossa Valley",2013,3x75cl,97,,1," $1,389.00 "
Australia,South Eastern Australia,Penfolds,"Penfolds, g5",1000,1x75cl,,,4," $3,481.00 "
Australia,Western Australia,Cullen,"Cullen, Diana Madeline, Margaret River",2016,6x75cl,,95,1," $1,181.00 "
Chile,Aconcagua,Errazuriz,"Errazuriz, Las Pizarras Pinot Noir, Aconcagua",2015,6x75cl,94,91,1, $620.00 
Chile,Aconcagua,Sena,"Sena, Aconcagua Valley",2014,12x37.5cl,,93,15, $878.00 
Chile,Aconcagua,Sena,"Sena, Aconcagua Valley",2015,6x75cl,,94,1, $777.00 
Chile,Aconcagua,Sena,"Sena, Aconcagua Valley",2018,6x75cl,,95,35, $682.00 
Chile,Aconcagua,Sena,"Sena, Aconcagua Valley",2019,6x75cl,,96,8, $803.00 
Chile,Aconcagua,Sena,"Sena, Aconcagua Valley",2020,6x75cl,,94,18, $898.00 
Chile,Central Valley,Bournet-Lapostolle,"Domaine Bournet-Lapostolle, Clos Apalta, Apalta",2015,6x75cl,,,5, $786.00 
Chile,Central Valley,Bournet-Lapostolle,"Domaine Bournet-Lapostolle, Clos Apalta, Apalta",2016,6x75cl,,93,3, $773.00 
Chile,Central Valley,Bournet-Lapostolle,"Domaine Bournet-Lapostolle, Clos Apalta, Apalta",2018,6x75cl,,96,9, $847.00 
Chile,Central Valley,Lapostolle,"Casa Lapostolle, Le Petit Clos, Colchagua Valley",2018,6x75cl,,94,16, $329.00 
Chile,Central Valley,Rothschild & Concha Y Toro,"Rothschild & Concha Y Toro, Almaviva EPU, Maipo Valley",2019,6x75cl,,92,11, $448.00 
Chile,Central Valley,Rothschild & Concha Y Toro,"Rothschild & Concha Y Toro, Almaviva EPU, Maipo Valley",2020,6x75cl,,93,15, $524.00 
Chile,Central Valley,Rothschild & Concha Y Toro,"Rothschild & Concha Y Toro, Almaviva, Maipo Valley",2013,6x75cl,94,93,7," $1,445.00 "
Chile,Central Valley,Rothschild & Concha Y Toro,"Rothschild & Concha Y Toro, Almaviva, Maipo Valley",2014,6x75cl,94,92,3," $1,138.00 "
Chile,Central Valley,Rothschild & Concha Y Toro,"Rothschild & Concha Y Toro, Almaviva, Maipo Valley",2016,6x75cl,95,95,8, $939.00 
Chile,Central Valley,Rothschild & Concha Y Toro,"Rothschild & Concha Y Toro, Almaviva, Maipo Valley",2017,6x75cl,94,94,1, $955.00 
